Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,regularMarketPrice,logo_url
AAL,76155,Industrials,102700,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,817 963 1234,TX,United States,[],http://www.aa.com,1,1 Skyview Drive,Airlines,25.17,25.11,15.283482,0.003972984,,,25.25,,51851100,,25.17,19.375587,0.1,25.11,,51851100,,,,,1580774400,1.858071,,,24.31,2,USD,,47923579,,,,14949212160,,,59202920,0.86227214,24.31,0,,2900,47923579,25.94,174.7857,,1.27,8.25,0,False,,800,25.25,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAL,finmb_168569,us_market,,2.873,,-0.51249003,-5.695,1.1605151,,0.14,,639676032,,,-11.049,76349014,0.119399995,,1609372800,0.45415002,-8885000192,-18.362,0.1,0.652609,,0.00934,1672444800,1609372800,1.13,1611878400,632664953,49809866752,,1386547200,0:1,,1580774400,,,1614297600,0.07,,0.1587,97372491,,,,25.11,
AAPL,95014,Technology,147000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,123.99,125.7,123.05482,0.0065085893,0.2177,,127.22,,112993233,,123.99,129.24411,0.807,125.7,,112993233,,,,0.82,1612483200,1.251354,,,124.715,2,USD,34.0575,115227936,,,,2031860711424,,,111429162,6.907919,124.715,0,,1000,115227936,145.09,26.831198,,1.42,53.1525,0,False,0.0068,1100,127.22,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.287,,0.21735,25.168,1.0106215,,4.68,,16788100096,,,3.936,100799312,0.006,,1601078400,0.59661996,63929999360,3.687,0.205,0.652609,31.902946,0.00065,1664150400,1608940800,0.97,1611878400,16770804261,2143298256896,,1598832000,4:1,,1612483200,,0.293,1614297600,1.9,,0.006,91862600,,,,125.7,
ABEV,04530-001,Consumer Defensive,50000,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks (CSD), other non-alcoholic beverages, malt, and food products in the Americas. It operates through three segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. The company offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Budweiser, Bud Light, Stella Artois, Corona, Modelo Especial, Beck, Leffe, Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, President Light, Bohemia, The One, Banks, Deputy, Quilmes ClÃ¡sica, PaceÃ±a, TaquiÃ±a, Huari, Becker, CusqueÃ±a, Pilsen, Ouro Fino, Patricia, Michelob Ultra, Busch, Labatt Blue, Alexander Keith's, and Kokanee, brands. It also provides CSD, bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the GuaranÃ¡ Antarctica, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up brands, and Palm Bay and Mike's brands. Ambev S.A. offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in SÃ£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V.",SÃ£o Paulo,55 11 2122 1414,SP,Brazil,[],http://www.ambev.com.br,1,"Rua Dr. Renato Paes de Barros, 1017",Beverages—Brewers,2.74,2.74,2.6916296,0.05182482,0.5548,,2.78,,22177700,,2.74,2.762353,0.142,2.74,,22177700,,,,0.01,1610582400,0.896694,,,2.69,4,USD,15.397728,11820142,,,,42677350400,,,24826718,,2.69,0,,306000,11820142,3.2,22.583334,,2.72,1.9,0,False,0.0052,36900,2.78,NYQ,Ambev S.A.,Ambev S.A.,America/New_York,EDT,False,-14400000,EQUITY,ABEV,finmb_134386019,us_market,,,,0.19492,,0.2924528,,0.12,,15734899712,,,0.987,68090096,0.0043,,1609372800,0.08615,,0.176,0.015,0.652609,2.7456942,0,1672444800,1609372800,2.8,1611878400,4396020553,43113668608,,1384128000,5:1,,1610582400,,0.655,1614297600,-2.06,,,75370499,,,,2.74,
ACB,T9E 0V6,Healthcare,2731,"Aurora Cannabis Inc. produces and distributes medical cannabis products worldwide. It is vertically integrated and horizontally diversified across various segments of the cannabis value chain, including facility engineering and design, cannabis breeding, genetics research, production, derivatives, high value-add product development, home cultivation, wholesale, and retail distribution. The company produces various strains of dried cannabis, cannabis oil and capsules, and topical kits for medical patients. It also sells vaporizers; consumable vaporizer accessories, including valves, screens, etc.; and herb mills for using CanniMed herbal cannabis products, as well as grinders and vaporizer lockable containers. In addition, the company engages in the development of medical cannabis products at various stages of development, including oral, topical, edible, and inhalable products; and operation of CanvasRX, a network of cannabis counseling and outreach centers. Further, it provides patient counselling services; design and construction services; and cannabis analytical product testing services. The company's brand portfolio includes Aurora, Aurora Drift, San Rafael '71, Daily Special, AltaVie, MedReleaf, CanniMed, Whistler, Woodstock, and ROAR Sports. Aurora Cannabis Inc. is headquartered in Edmonton, Canada.",Edmonton,855 279 4652,AB,Canada,[],http://auroramj.com,1,Edmonton International Airport,Drug Manufacturers—Specialty & Generic,11.14,11.41,8.787852,,0,,11.42,,13731300,,11.14,11.939412,,11.41,,13731300,,,,,,3.109732,,,10.2517,2,USD,48.33333,12862098,,,,2048714112,,,24559732,,10.2517,0,,4000,12862098,19.68,,,,3.71,0,False,,3000,11.42,NYQ,Aurora Cannabis Inc.,Aurora Cannabis Inc.,America/New_York,EDT,False,-14400000,EQUITY,ACB,finmb_272485300,us_market,,,,0,,0.48533332,,,,197391008,,,3.439,20230058,0.1025,,1593475200,0.14139,,0.216,,0.652609,3.0357661,0.0019699999,1656547200,1609372800,0.65,1611878400,196805780,2086433792,,1589155200,1:12,,,,,1614297600,,,,25886985,,,,11.41,
AMC,66211,Communication Services,3449,"AMC Entertainment Holdings, Inc., through its subsidiaries, involved in the theatrical exhibition business. The company owns, operates, or has interests in theatres. As of March 12, 2021, it operated approximately 1000 theatres and 10,700 screens in the United States and internationally. The company was founded in 1920 and is headquartered in Leawood, Kansas. AMC Entertainment Holdings, Inc. is a subsidiary of Dalian Wanda Group Co., Ltd.",Leawood,913-213-2000,KS,United States,[],http://www.amctheatres.com,1,One AMC Way,Entertainment,14.04,13.62,4.8994813,0.002136752,,,13.62,,165114783,,14.04,8.511176,0.03,13.62,,165114783,,,,,1583452800,1.385157,,,12.34,2,USD,,125549305,,,,4414730752,,,167502493,3.5533893,12.34,0,,1000,125549305,20.36,-14.795455,,6.07,1.91,0,False,,4000,13.62,NYQ,"AMC Entertainment Holdings, Inc","AMC Entertainment Holdings, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMC,finmb_34874958,us_market,,13.999,,0,-16.3,4.6842103,,-0.88,,287276992,,,-12.861,55490440,0.16370001,,1609372800,0.37237,-4589100032,-39.152,0.03,0.652609,,0.02296,1672444800,1609372800,0.23,1611878400,403267918,17391992832,,,,,1583452800,,,1614297600,0.02,,0.195,37716302,339072992,,,13.62,
AMD,95054,Technology,12600,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1,2485 Augustine Drive,Semiconductors,82.5,83.66,85.91311,,0,,84.75,,43392750,,82.5,86.00176,,83.66,,43392750,,,,,798940800,2.184182,,,82.26,2,USD,40.092056,42971552,,,,98177908736,,,43143901,10.056121,82.26,0,,1100,42971552,99.23,32.837303,,,36.75,0,False,,1300,84.75,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMD,finmb_168864,us_market,,10.091,,0.25504,58.605,,,2.52,,1211320064,,,4.82,79247010,0.0654,,1608940800,0.73875,2489999872,2.064,,,17.168049,0.0062,1672012800,1608940800,1.88,1611878400,1204508954,98515419136,,966902400,2:1,,,,9.476,1614297600,1.59,,0.065799996,78642593,,,,83.66,
APHA,N8H 1M8,Healthcare,1200,"Aphria Inc. cultivates, processes, produces, markets, distributes, and sells medical cannabis in Canada and internationally. The company offers pharmaceutical-grade medical cannabis, adult-use cannabis, and cannabis-derived extracts and derivative cannabis products under the Solei, RIFF, Good Supply, Aphria, P'tite Pof, and Broken Coast brands. It serves patients and consumers through distributors and online. The company is headquartered in Leamington, Canada.",Leamington,844 427 4742,ON,Canada,[],http://aphriainc.com,1,98 Talbot Street West,Drug Manufacturers—Specialty & Generic,22.165,22.25,9.372666,,0,,22.26,,20787283,,22.165,17.900146,,22.25,,20787283,,,,,,2.635532,,,19.94,2,USD,67.62542,19696375,,,,6372372992,,,24784874,,19.94,0,,34100,19696375,32.29,,,,1.95,0,False,,1800,22.26,NMS,Aphria Inc.,Aphria Inc.,America/New_York,EDT,False,-14400000,EQUITY,APHA,finmb_265511894,us_market,,,,-0.36361,,,,,,316745984,,,5.345,15325166,0.0484,,1590883200,0.1382,,0.299,,,3.7829747,0.00014,1653955200,1606694400,0.43,1611878400,312634213,7020665344,,,,,,,,1614297600,,,,16704934,,,,22.25,
AZN,CB2 0AA,Healthcare,76100,"AstraZeneca PLC discovers, develops, manufactures, and commercializes prescription medicines in the areas of oncology, cardiovascular, renal and metabolism, respiratory, infection, neuroscience, and gastroenterology worldwide. The company's marketed products include Tagrisso, Lynparza, Imfinzi, Enhertu, Koselugo, Lumoxiti, Equidacent, Zoladex, Faslodex, Iressa, Arimidex, Casodex/Cosudex, and others for oncology diseases; Onglyza, Bydureon, Lokelma, Byetta, Qtern, Symlin, and others for cardiovascular, renal, and metabolism diseases; and Symbicort, Pulmicort, Fasenra, Daliresp/Daxas, Duaklir, Tudorza/Eklira, Bevespi, Breztri, Anifrolumab, and others for respiratory and immunology diseases. It also offers other medicines and COVID-19 products, including Synagis, Fluenz Tetra/FluMist Quadrivalent, Seroquel IR/Seroquel XR, Vimovo, Movantik/Moventig, Nexium, Losec/Prilosec, and COVID-19 Vaccine AstraZeneca. The company serves primary care and specialty care physicians through distributors and local representative offices. It has a collaboration agreement with Daiichi Sankyo to develop and commercialize DS-1062 for the treatment of trophoblast cell-surface antigen 2 (TROP2) tumor; and AliveCor, Inc. to develop non-invasive potassium monitoring solutions. The company was formerly known as Zeneca Group PLC and changed its name to AstraZeneca PLC in April 1999. AstraZeneca PLC was incorporated in 1992 and is headquartered in Cambridge, the United Kingdom.",Cambridge,44 20 3749 5000,,United Kingdom,[],http://www.astrazeneca.com,1,1 Francis Crick Avenue,Drug Manufacturers—General,48.77,49.95,52.332962,0.05741234,1.1475,,50.465,,12036233,,48.77,49.854412,2.8,49.95,,12036233,,,,1.4,1614211200,0.155507,,,49.855,2,USD,41.091953,16766256,,,,127641010176,,,12124037,4.7954693,49.855,0,,800,16766256,64.94,15.30581,,3.73,38.07,0,False,0.028900001,2900,50.465,NMS,Astrazeneca PLC,AstraZeneca PLC,America/New_York,EDT,False,-14400000,EQUITY,AZN,finmb_336774,us_market,,5.362,,0.12007,21.102,,,3.27,,2625440000,,,5.9505,86279895,0.032899998,,1609372800,0.16816,3196000000,1.218,,,8.411057,1.0000001e-05,1672444800,1609372800,8.11,1611878400,2616595074,142730706944,,1437955200,2:1,,,,2.233,1614297600,1.06,,,65924730,,,,49.95,
BA,60606-1596,Industrials,141000,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating and finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was founded in 1916 and is based in Chicago, Illinois.",Chicago,312-544-2000,IL,United States,[],http://www.boeing.com,1,100 North Riverside Plaza,Aerospace & Defense,265.63,263.23,195.80423,0.0077363253,,,264.14,,27089550,,265.63,218.32794,2.055,263.23,,27089550,,,,,1581552000,1.632177,,,254.02,2,USD,,28707219,,,,148950761472,,,15285155,2.5611398,254.02,255.48,,900,28707219,278.57,47.000004,,2.48,89,255,False,,1400,264.14,NYQ,Boeing Company (The),The Boeing Company,America/New_York,EDT,True,-14400000,EQUITY,BA,finmb_370857,us_market,,3.379,,-0.20415,-30.644,,,5.43,,583640000,,,-31.453,9284018,0.0159,,1609372800,0.52891,-11873000448,-20.88,,,,0.00118,1672444800,1609372800,0.71,1611878400,532666741,196522917888,,865814400,2:1,,,,,1614297600,-65.28,,0.0159,11695311,,,,263.23,
BABA,311121,Consumer Cyclical,252084,"Alibaba Group Holding Limited, through its subsidiaries, provides online and mobile commerce businesses in the People's Republic of China and internationally. It operates through four segments: Core Commerce, Cloud Computing, Digital Media and Entertainment, and Innovation Initiatives and Others. The company operates Taobao Marketplace, a mobile commerce destination; Tmall, a third-party online and mobile commerce platform for brands and retailers; Alibaba Health Internet platforms for pharmaceutical and healthcare products; Alimama, a monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, an e-commerce platform; and Tmall Global, an import e-commerce platform. It also operates Lingshoutong, a digital sourcing platform; Cainiao Network logistic services platform; Ele.me, a delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, the company offers pay-for-performance and display marketing services; and Taobao Ad Network and Exchange, a real-time bidding online marketing exchange. Further, it provides elastic computing, database, storage, virtualization network, large-scale computing, security, management and application, big data analytics, and Internet of Things and other services for enterprises; payment and escrow services; and movies, television series, variety shows, animations, and other video content. Additionally, the company operates Youku, an online video platform; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency app; and Tmall Genie, an AI-powered smart speaker. The company was founded in 1999 and is based in Hangzhou, the People's Republic of China.",Hangzhou,86 571 8502 2088,,China,[],http://www.alibabagroup.com,1,969 West Wen Yi Road,Internet Retail,230.28,228.07,267.31705,,0,,229.85,,15042050,,230.28,252.15205,,228.07,,15042050,,,,,,0.883531,,,225.53,2,USD,24.374865,19136985,,,,632088559616,,,23457613,,225.53,228.28,,1000,19136985,319.32,18.832365,,,169.95,228.11,False,,900,229.85,NYQ,Alibaba Group Holding Limited,Alibaba Group Holding Limited,America/New_York,EDT,False,-14400000,EQUITY,BABA,finmb_42083601,us_market,,,,0.24707001,,,,12.05,,2705639936,,,24.798,41755317,0.0154,,1585612800,0.43861,,9.31,,,9.151141,0.00225,1648684800,1609372800,2.68,1611878400,1865843030,613930762240,,,,,,,0.524,1614297600,37.44,,,41590572,,,,228.07,
