Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10664.8203125,10710.73046875,10650.76953125,10710.73046875,10710.73046875,2375900
2018-01-03,10759.6103515625,10813.16015625,10759.6103515625,10801.5703125,10801.5703125,2964800
2018-01-04,10834.580078125,10853.4599609375,10794.25,10848.6298828125,10848.6298828125,3048500
2018-01-05,10856.919921875,10879.7998046875,10815.6796875,10879.7998046875,10879.7998046875,3028400
2018-01-08,10899.08984375,10918.4697265625,10869.1201171875,10915.75,10915.75,3246900
2018-01-09,10922.349609375,10931.0,10860.76953125,10914.8896484375,10914.8896484375,2933100
2018-01-10,10915.3203125,10934.75,10819.25,10831.08984375,10831.08984375,3224000
2018-01-11,10824.5400390625,10844.080078125,10770.099609375,10810.0595703125,10810.0595703125,2736200
2018-01-12,10818.240234375,10899.98046875,10818.240234375,10883.9599609375,10883.9599609375,2900300
2018-01-15,10932.3701171875,10962.5498046875,10911.8896484375,10956.3095703125,10956.3095703125,2672500
2018-01-16,10955.8095703125,10986.1103515625,10920.5,10986.1103515625,10986.1103515625,2943900
2018-01-17,10976.1298828125,11030.2197265625,10942.9501953125,11004.7998046875,11004.7998046875,3337400
2018-01-18,11048.0595703125,11122.8203125,11048.0595703125,11071.5703125,11071.5703125,3069900
2018-01-19,11123.580078125,11150.849609375,11095.849609375,11150.849609375,11150.849609375,2661500
2018-01-22,11169.7900390625,11231.4599609375,11142.3798828125,11231.4599609375,11231.4599609375,3222600
2018-01-23,11243.490234375,11270.1796875,11201.51953125,11253.1103515625,11253.1103515625,3399800
2018-01-24,11228.7099609375,11228.7099609375,11107.3203125,11152.16015625,11152.16015625,3171100
2018-01-25,11154.3603515625,11268.6103515625,11131.849609375,11165.9501953125,11165.9501953125,3457900
2018-01-26,11152.5302734375,11178.2998046875,11089.48046875,11147.099609375,11147.099609375,2701400
2018-01-29,11202.26953125,11246.1796875,11161.830078125,11221.8095703125,11221.8095703125,2450400
2018-01-30,11189.5703125,11189.5703125,11076.7802734375,11076.7802734375,11076.7802734375,2709200
2018-01-31,11054.3603515625,11158.2900390625,11007.8896484375,11103.7900390625,11103.7900390625,2642900
2018-02-01,11139.400390625,11212.099609375,11139.400390625,11160.25,11160.25,2257600
2018-02-02,11151.650390625,11153.3203125,11070.4296875,11126.23046875,11126.23046875,2023400
