"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2023/02/07","22.8","22.8","22.65","22.8","0","0.00","57"
"2023/02/06","22.95","22.95","22.75","22.8","-0.14999999999999858","-0.65","52"
"2023/02/03","23.15","23.15","22.9","22.95","-0.3500000000000014","-1.50","88"
"2023/02/02","23.15","23.35","23","23.3","0.15000000000000213","0.65","100"
"2023/02/01","22.7","23.25","22.7","23.15","0.4499999999999993","1.98","84"
"2023/01/31","22.5","22.8","22.45","22.7","0.3999999999999986","1.79","66"
"2023/01/30","22.25","22.55","22.25","22.3","0.10000000000000142","0.45","40"
"2023/01/17","22","22.45","22","22.2","0","0.00","28"
"2023/01/16","22.15","22.2","22.05","22.2","0.09999999999999787","0.45","23"
"2023/01/13","22.25","22.3","22","22.1","-0.14999999999999858","-0.67","55"
"2023/01/12","22","22.25","22","22.25","0.10000000000000142","0.45","27"
"2023/01/11","22","22.15","21.95","22.15","0.14999999999999858","0.68","46"
"2023/01/10","22.1","22.15","22","22","-0.05000000000000071","-0.23","28"
"2023/01/09","22","22.2","22","22.05","0.05000000000000071","0.23","23"
"2023/01/06","22.1","22.1","21.75","22","-0.10000000000000142","-0.45","115"
"2023/01/05","22.05","22.2","22.05","22.1","0.05000000000000071","0.23","12"
"2023/01/04","22","22.35","22","22.05","0.05000000000000071","0.23","45"
"2023/01/03","21.95","22","21.85","22","0","0.00","15"
"2022/12/30","22.2","22.2","21.8","22","0.10000000000000142","0.46","24"
"2022/12/29","22.1","22.55","21.9","21.9","-0.10000000000000142","-0.45","69"
"2022/12/28","22.1","22.15","21.9","22","-0.05000000000000071","-0.23","26"
"2022/12/27","22.1","22.1","22","22.05","0","0.00","16"
"2022/12/26","22.05","22.05","21.9","22.05","0","0.00","34"
"2022/12/23","21.8","22.05","21.6","22.05","0.25","1.15","53"
"2022/12/22","21.7","21.85","21.65","21.8","0.10000000000000142","0.46","40"
"2022/12/21","21.9","21.9","21.65","21.7","-0.1999999999999993","-0.91","43"
"2022/12/20","22.15","22.15","21.75","21.9","-0.25","-1.13","27"
"2022/12/19","21.9","22.15","21.9","22.15","0.25","1.14","85"
"2022/12/16","21.8","22.15","21.75","21.9","-0.20000000000000284","-0.90","11"
"2022/12/15","21.9","22.25","21.9","22.1","0.20000000000000284","0.91","7"
"2022/12/14","21.9","22","21.85","21.9","0","0.00","13"
"2022/12/13","21.95","22.15","21.9","21.9","0","0.00","26"
"2022/12/12","22.1","22.1","21.9","21.9","-0.20000000000000284","-0.90","22"
"2022/12/09","22.2","22.2","22.05","22.1","-0.04999999999999716","-0.23","28"
"2022/12/08","22","22.15","22","22.15","-0.05000000000000071","-0.23","12"
"2022/12/07","22.3","22.3","22.1","22.2","-0.1999999999999993","-0.89","39"
"2022/12/06","22.65","22.65","22.35","22.4","-0.3000000000000007","-1.32","49"
"2022/12/05","22.8","22.8","22.6","22.7","-0.10000000000000142","-0.44","151"
"2022/12/02","23","23.2","22.8","22.8","-0.05000000000000071","-0.22","37"
"2022/12/01","23","23.15","22.8","22.85","-0.14999999999999858","-0.65","62"
"2022/11/30","22.4","23.65","22.35","23","0.6499999999999986","2.91","469"
"2022/11/29","22.55","22.55","22.25","22.35","-0.1999999999999993","-0.89","37"
"2022/11/28","23","23","22.55","22.55","-0.1999999999999993","-0.88","18"
"2022/11/25","23.05","23.05","22.5","22.75","-0.3000000000000007","-1.30","72"
"2022/11/24","22.8","24.4","22.6","23.05","0.25","1.10","507"
