Date	Open	High	Low	Close	Volume('000 shares)	Date
2013/02/05	24	24.1	23.8	23.95	1735.675	2013/2/5
2013/02/06	24.15	24.2	24	24.1	2570.702	2013/2/6
2013/02/18	24.4	24.45	24	24.45	3533.473	2013/2/18
2013/02/19	24.5	24.8	24.35	24.7	4980.893	2013/2/19
2013/02/20	24.85	24.85	24.55	24.6	4001.437	2013/2/20
2013/02/21	24.6	24.6	24.15	24.25	2955.06	2013/2/21
2013/02/22	24	24.2	23.95	24.05	2140.319	2013/2/22
2013/02/23	24.2	24.2	23.7	23.85	3714.376	2013/2/23
2013/02/25	23.85	23.85	23.5	23.6	3070.199	2013/2/25
2013/02/26	23.3	23.55	23.2	23.25	2803.974	2013/2/26
2013/02/27	23.25	23.5	23.15	23.35	1507.406	2013/2/27
2013/03/01	23.4	23.65	23.35	23.45	2538.18	2013/3/1
2013/03/04	23.4	23.4	23	23.05	2657.563	2013/3/4
2013/03/05	23.05	23.2	23	23.1	1819.056	2013/3/5
2013/03/06	23.2	23.3	23	23.05	1944.132	2013/3/6
2013/03/07	23.05	23.2	23.05	23.05	1748.949	2013/3/7
2013/03/08	23.1	23.75	23.05	23.6	3221.119	2013/3/8
2013/03/11	23.6	23.8	23.4	23.65	3628.696	2013/3/11
2013/03/12	23.75	24.25	23.65	23.65	5872.167	2013/3/12
2013/03/13	23.6	24.05	23.6	23.7	4247.969	2013/3/13
2013/03/14	23.9	23.95	23.65	23.7	2662.064	2013/3/14
2013/03/15	23.85	23.95	23.6	23.6	2642.689	2013/3/15
2013/03/18	23.6	23.6	23	23.05	2892.657	2013/3/18
2013/03/19	23.15	23.3	23.05	23.15	898.048	2013/3/19
2013/03/20	23.1	23.25	23.05	23.1	1142.054	2013/3/20
2013/03/21	23.2	23.3	23.15	23.15	1009.723	2013/3/21
2013/03/22	23.15	23.35	23.1	23.15	992.777	2013/3/22
2013/03/25	23.25	23.35	23.05	23.1	1421.308	2013/3/25
2013/03/26	23.15	23.2	22.9	23.1	2404.811	2013/3/26
2013/03/27	23.1	23.1	22.95	23.1	1997.803	2013/3/27
2013/03/28	23	23.1	22.9	22.95	1347.41	2013/3/28
2013/03/29	23	23.1	22.95	23	1131	2013/3/29
2013/04/01	23.4	24.1	23.3	23.9	10652.153	2013/4/1
2013/04/02	24.1	24.1	23.7	23.8	2974.688	2013/4/2
2013/04/03	23.8	23.95	23.7	23.75	2414.917	2013/4/3
2013/04/08	23.6	23.6	22.8	22.8	4829.402	2013/4/8
2013/04/09	22.8	23.1	22.8	22.95	1504.678	2013/4/9
2013/04/10	23.2	23.4	23	23.35	1634.714	2013/4/10
2013/04/11	23.5	23.8	23.1	23.3	3099.816	2013/4/11
2013/04/12	23.3	23.5	23.15	23.15	1131.438	2013/4/12
2013/04/15	23.15	23.3	22.9	22.9	1347.446	2013/4/15
2013/04/16	22.7	22.8	22.5	22.75	1932.946	2013/4/16
2013/04/17	22.8	22.9	22.7	22.75	1057.335	2013/4/17
2013/04/18	22.65	23	22.6	22.75	1205.049	2013/4/18
2013/04/19	22.75	23.2	22.75	23	1724.439	2013/4/19
2013/04/22	23	23.45	23	23.2	2664.656	2013/4/22
2013/04/23	23.25	23.35	22.95	23.15	2510.777	2013/4/23
2013/04/24	23.15	23.2	23	23.05	2029.147	2013/4/24
2013/04/25	23	23.1	22.8	22.8	1712.987	2013/4/25
2013/04/26	22.9	23.45	22.8	23.2	5364.364	2013/4/26
2013/04/29	23.3	23.3	22.9	22.95	1244.063	2013/4/29
2013/04/30	23	23.05	22.85	22.85	1704.6	2013/4/30
2013/05/02	22.8	23.15	22.8	22.9	1373	2013/5/2
2013/05/03	23	23.15	22.8	22.85	1097.219	2013/5/3
2013/05/06	22.9	23	22.8	22.95	1402.694	2013/5/6
2013/05/07	23.1	23.1	22.75	22.8	1164.132	2013/5/7
2013/05/08	22.8	22.95	22.75	22.8	1094.217	2013/5/8
2013/05/09	22.95	23.05	22.85	23	1355.887	2013/5/9
2013/05/10	23	23	22.7	22.8	1462.643	2013/5/10
2013/05/13	23	23	22.7	22.7	1447.421	2013/5/13
2013/05/14	22.8	22.85	22.65	22.75	678.951	2013/5/14
2013/05/15	22.75	22.75	22.4	22.45	2585.297	2013/5/15
2013/05/16	22.5	22.65	22.45	22.5	2121.686	2013/5/16
2013/05/17	22.5	22.6	22.45	22.5	1390.009	2013/5/17
2013/05/20	22.5	22.85	22.5	22.7	1350.152	2013/5/20
2013/05/21	22.7	22.85	22.7	22.7	1475.86	2013/5/21
2013/05/22	22.8	22.85	22.6	22.6	1474.85	2013/5/22
2013/05/23	22.65	22.65	22.5	22.5	1354.351	2013/5/23
2013/05/24	22.5	22.7	22.4	22.45	902.218	2013/5/24
2013/05/27	22.4	22.65	22.4	22.55	736.653	2013/5/27
2013/05/28	22.65	22.7	22.55	22.7	1077.826	2013/5/28
2013/05/29	22.9	22.9	22.75	22.8	1439.819	2013/5/29
2013/05/30	22.85	22.85	22.5	22.5	1177.748	2013/5/30
2013/05/31	22.7	22.8	22.4	22.5	1502.895	2013/5/31
2013/06/03	22.4	22.45	22.25	22.4	1347	2013/6/3
2013/06/04	22.5	22.55	22.2	22.25	1150	2013/6/4
2013/06/05	22.4	22.4	22.2	22.3	1098.828	2013/6/5
2013/06/06	22.2	22.25	22.05	22.05	1423.991	2013/6/6
2013/06/07	22.05	22.2	21.75	21.75	1361.846	2013/6/7
2013/06/10	21.75	21.9	21.35	21.35	2094.355	2013/6/10
2013/06/11	21.35	21.6	21.3	21.35	1145.639	2013/6/11
2013/06/13	21.05	21.25	20.4	20.5	2880.458	2013/6/13
2013/06/14	20.6	20.75	20.05	20.05	2844.266	2013/6/14
2013/06/17	20.05	20.25	20	20.2	1267.224	2013/6/17
2013/06/18	20.35	21	20.25	20.9	1886.313	2013/6/18
2013/06/19	21	21	20.5	20.65	1479.993	2013/6/19
2013/06/20	20.65	20.65	20.1	20.3	1482.927	2013/6/20
2013/06/21	20	20.1	19.85	20.1	1719.244	2013/6/21
2013/06/24	20.2	20.3	20	20	912.765	2013/6/24
2013/06/25	20	20.1	19.7	19.8	1209.21	2013/6/25
2013/06/26	19.95	20.1	19.75	19.85	1293.973	2013/6/26
2013/06/27	19.9	20.15	19.9	19.9	1276.943	2013/6/27
2013/06/28	20	20	19.9	20	594.708	2013/6/28
2013/07/01	19.9	20	19.85	19.9	986.567	2013/7/1
2013/07/02	19.95	20.65	19.95	20.15	2058.126	2013/7/2
2013/07/03	20.2	20.35	20	20	1366.827	2013/7/3
2013/07/04	20	20.2	19.95	19.95	570.568	2013/7/4
2013/07/05	19.95	20.1	19.95	20	811.948	2013/7/5
2013/07/08	20	20.4	20	20.1	857.381	2013/7/8
2013/07/09	20.15	20.35	20.15	20.3	789.163	2013/7/9
2013/07/10	20.4	21.15	20.25	21.1	3063.362	2013/7/10
2013/07/11	21.2	21.2	20.8	20.8	2717.198	2013/7/11
2013/07/12	20.8	21	20.8	21	1432	2013/7/12
2013/07/15	21.1	21.5	21	21.4	1505.526	2013/7/15
2013/07/16	21.5	21.5	21.4	21.5	1207.073	2013/7/16
2013/07/17	21.5	21.55	21.2	21.3	908.652	2013/7/17
2013/07/18	21.3	21.9	21.25	21.8	3651.405	2013/7/18
2013/07/19	21.95	22.3	21.65	22	2861.866	2013/7/19
2013/07/22	22.1	22.2	21.7	21.7	1248.44	2013/7/22
